Dia,Mes,Anno,T Min,Promedio,T Max
26,5,2019,16,21,28
27,5,2019,14,21,27
28,5,2019,16,22,29
29,5,2019,17,22,29
30,5,2019,17,23,29
31,5,2019,17,22,26
1,6,2019,16,21,26
2,6,2019,16,19,24
3,6,2019,15,19,22
4,6,2019,15,18,24
5,6,2019,15,18,24
6,6,2019,14,17,25
7,6,2019,15,18,25
8,6,2019,14,20,28
9,6,2019,13,21,28
10,6,2019,14,21,26
11,6,2019,14,19,25
12,6,2019,14,20,26
13,6,2019,16,19,23
14,6,2019,15,18,24
15,6,2019,15,20,26
16,6,2019,15,21,27
17,6,2019,16,22,28
18,6,2019,18,22,27
19,6,2019,16,20,26
20,6,2019,14,20,27
21,6,2019,15,19,27
22,6,2019,17,20,25
23,6,2019,17,20,24
24,6,2019,15,17,22
25,6,2019,14,18,23
26,6,2019,16,19,25
27,6,2019,16,19,24
28,6,2019,14,19,24
29,6,2019,13,18,23
30,6,2019,13,18,23
1,7,2019,14,18,22
2,7,2019,15,18,22
3,7,2019,13,16,22
4,7,2019,14,19,26
5,7,2019,14,19,26
6,7,2019,14,19,24
7,7,2019,13,18,25
8,7,2019,13,19,25
9,7,2019,13,18,26
10,7,2019,15,19,23
11,7,2019,15,17,23
12,7,2019,14,17,22
13,7,2019,13,18,24
14,7,2019,14,19,24
15,7,2019,15,19,26
16,7,2019,14,19,25
17,7,2019,14,18,21
18,7,2019,14,18,23
19,7,2019,14,17,23
20,7,2019,14,18,23
21,7,2019,14,18,24
22,7,2019,14,18,23
23,7,2019,13,19,23
24,7,2019,14,17,21
25,7,2019,13,16,20
26,7,2019,14,16,20
27,7,2019,14,17,24
28,7,2019,13,18,24
29,7,2019,13,17,22
30,7,2019,13,18,24
31,7,2019,14,19,24
1,8,2019,13,18,25
2,8,2019,12,19,25
3,8,2019,12,19,26
4,8,2019,15,20,25
5,8,2019,16,19,24
6,8,2019,14,18,23
7,8,2019,14,17,22
8,8,2019,13,17,25
9,8,2019,14,19,25
10,8,2019,16,20,25
11,8,2019,15,18,24
12,8,2019,15,18,25
13,8,2019,15,20,26
14,8,2019,14,19,26
15,8,2019,16,21,26
16,8,2019,14,20,27
17,8,2019,15,20,26
18,8,2019,14,20,27
19,8,2019,16,20,25
20,8,2019,12,18,25
21,8,2019,12,18,23
22,8,2019,15,20,24
23,8,2019,16,19,25
24,8,2019,15,19,26
25,8,2019,14,20,26
26,8,2019,14,19,26
27,8,2019,15,20,26
28,8,2019,15,20,26
29,8,2019,13,20,26
30,8,2019,13,19,25
31,8,2019,12,19,26
1,9,2019,12,19,26
2,9,2019,13,19,25
3,9,2019,14,19,24
4,9,2019,14,19,24
5,9,2019,14,20,25
6,9,2019,15,19,25
7,9,2019,13,18,23
8,9,2019,11,18,26
9,9,2019,13,19,25
10,9,2019,12,17,24
11,9,2019,15,17,23
12,9,2019,14,18,23
13,9,2019,15,18,22
14,9,2019,15,18,23
15,9,2019,13,18,25
16,9,2019,13,18,24
17,9,2019,14,18,25
18,9,2019,16,19,24
19,9,2019,15,18,24
20,9,2019,14,19,25
21,9,2019,13,18,24
22,9,2019,14,19,25
23,9,2019,12,18,25
24,9,2019,15,19,25
25,9,2019,14,18,24
26,9,2019,14,18,25
27,9,2019,14,20,26
28,9,2019,16,19,24
29,9,2019,16,18,21
30,9,2019,13,17,23
1,10,2019,14,18,24
2,10,2019,14,17,24
3,10,2019,12,18,24
4,10,2019,14,18,23
5,10,2019,15,19,24
6,10,2019,13,18,25
7,10,2019,13,18,23
8,10,2019,14,16,19
9,10,2019,15,19,24
10,10,2019,14,20,26
11,10,2019,15,20,27
12,10,2019,16,19,25
13,10,2019,12,19,26
14,10,2019,14,20,27
15,10,2019,12,19,27
16,10,2019,16,19,24
17,10,2019,14,16,18
18,10,2019,14,18,23
19,10,2019,15,19,25
20,10,2019,16,20,24
21,10,2019,15,20,24
22,10,2019,15,18,22
23,10,2019,13,17,22
24,10,2019,12,17,23
25,10,2019,14,16,21
26,10,2019,13,16,21
27,10,2019,15,18,23
28,10,2019,13,17,24
29,10,2019,16,19,24
30,10,2019,15,19,24
31,10,2019,14,17,20
1,11,2019,10,16,22
2,11,2019,13,16,19
3,11,2019,12,14,20
4,11,2019,12,16,23
5,11,2019,11,17,23
6,11,2019,12,16,23
7,11,2019,12,18,25
8,11,2019,12,18,23
9,11,2019,14,18,24
10,11,2019,9,16,24
11,11,2019,13,19,24
12,11,2019,13,18,22
13,11,2019,10,16,21
14,11,2019,13,18,23
15,11,2019,13,16,21
16,11,2019,9,15,21
17,11,2019,9,17,23
18,11,2019,11,17,23
19,11,2019,12,17,23
20,11,2019,12,18,24
21,11,2019,12,18,24
22,11,2019,11,18,25
23,11,2019,10,18,24
24,11,2019,9,17,24
25,11,2019,11,18,25
26,11,2019,13,19,24
27,11,2019,11,18,26
28,11,2019,10,18,27
29,11,2019,10,18,24
30,11,2019,12,18,25
1,12,2019,10,18,25
2,12,2019,10,16,22
3,12,2019,9,17,23
4,12,2019,9,17,24
5,12,2019,8,16,23
6,12,2019,8,17,25
7,12,2019,5,15,23
8,12,2019,7,15,24
9,12,2019,8,17,25
10,12,2019,9,17,25
11,12,2019,9,16,21
12,12,2019,7,15,22
13,12,2019,8,16,22
14,12,2019,7,16,23
15,12,2019,6,16,23
16,12,2019,7,16,23
17,12,2019,9,15,22
18,12,2019,7,12,18
19,12,2019,4,12,20
20,12,2019,8,14,19
21,12,2019,9,15,21
22,12,2019,9,11,14
23,12,2019,7,14,21
24,12,2019,8,15,22
25,12,2019,8,15,21
26,12,2019,8,15,22
27,12,2019,8,16,24
28,12,2019,12,17,22
29,12,2019,10,16,21
30,12,2019,10,17,24
31,12,2019,8,16,24
